"Estacao";"Data";"Hora";"Precipitacao";"TempMaxima";"TempMinima";"Insolacao";"Evaporacao.Piche";"Temp.Comp.Media";"Umidade.Relativa.Media";"Velocidade.do.Vento.Media";"X";"estacao";"lat";"long";"alt"
82989;"21/01/1977";0;NA;23,7;NA;0;NA;21,98;91;3,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"21/01/1977";1200;20;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"22/01/1977";0;NA;29,1;NA;5,1;NA;23,8;80,25;3,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"22/01/1977";1200;6,7;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"23/01/1977";0;NA;29,7;NA;8,3;NA;24,9;70;5;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"23/01/1977";1200;0;NA;20,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"24/01/1977";0;NA;30,3;NA;5,5;NA;24,62;65;2,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"24/01/1977";1200;0;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"25/01/1977";0;NA;29,3;NA;2,9;NA;24,6;64,25;3,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"25/01/1977";1200;0;NA;19,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"26/01/1977";0;NA;26,9;NA;0,3;NA;22,78;89,75;3,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"26/01/1977";1200;0;NA;20,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"27/01/1977";0;NA;27,1;NA;0,4;NA;22,64;76,25;3,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"27/01/1977";1200;44,7;NA;19,3;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"28/01/1977";0;NA;29,1;NA;11,4;NA;23,92;70,5;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"28/01/1977";1200;0;NA;18,6;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"29/01/1977";0;NA;29,7;NA;9,7;NA;24,3;68,75;3,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"29/01/1977";1200;0;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"30/01/1977";0;NA;29,8;NA;8,5;NA;23,82;71,25;7,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"30/01/1977";1200;0;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"31/01/1977";0;NA;24,5;NA;0;NA;20,82;93,25;3,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"31/01/1977";1200;22,2;NA;19;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"01/02/1977";0;NA;24,3;NA;0,2;NA;21,24;88;2,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"01/02/1977";1200;10,2;NA;18,3;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"02/02/1977";0;NA;28,1;NA;9,1;NA;23,08;78,5;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"02/02/1977";1200;0;NA;19,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"03/02/1977";0;NA;28,4;NA;8,6;NA;23,52;76;4,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"03/02/1977";1200;0;NA;19,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"04/02/1977";0;NA;27,6;NA;6,9;NA;23,14;81,25;7,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"04/02/1977";1200;0;NA;20,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"05/02/1977";0;NA;28,8;NA;9,3;NA;23,14;73,75;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"05/02/1977";1200;0;NA;19,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"06/02/1977";0;NA;27,9;NA;7,5;NA;23,02;80,5;5;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"06/02/1977";1200;0;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"07/02/1977";0;NA;27,9;NA;4,3;NA;23;75,5;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"07/02/1977";1200;0;NA;19,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
